num_cases,num_deaths,fatality_rate,f_rate,pop,D1,D2,MI,P,CHW,F,LE,PG,PR,PRG,PUG,PU,S,SU,SR,W,WU,WR,OD,ODU,ODR,chol_per_1000,death_by_chol_per_100k,temp_c,rain_mm
76,0.0,0.0,0.0,11379111.0,0.0,60.9,0.0,0.0,0.0,1.615,79.3908292683,0.146040659128,23.03,-0.278592524824,0.273445331893,76.97,93.2,94.4,89.1,94.6,96.3,89.0,0.6,0.4,1.6,0.00667890488106,0.0,25.9857083333,1332.5247
65,0.0,0.0,0.0,11389562.0,0.0,0.0,0.0,0.0,0.0,1.606,79.5464146341,0.0918015795999,22.926,-0.360795378939,0.2268247691,77.074,93.2,94.4,89.1,94.9,96.4,89.8,0.6,0.4,1.6,0.00570697977675,0.0,26.5601333333,1141.2379
32,0.0,0.0,0.0,20131707.0,0.0,0.0,446.2,0.144,0.0,5.231,50.1514634146,2.24437332885,49.443,0.724924054044,3.75301188441,50.557,20.9,32.0,9.7,80.7,92.6,68.4,28.4,5.7,51.7,0.00158953237299,0.0,27.11395,1737.9392
1261,24.0,1.9,1.90325138779,20604172.0,0.0,0.0,0.0,0.0,0.0,5.177,50.5172195122,2.31975446979,48.695,0.795344265455,3.78843139285,51.305,21.3,32.2,9.8,80.9,92.7,68.5,28.0,5.6,51.5,0.061201197505,0.116481264086,26.7382666667,1356.72334
424,19.0,4.48,4.48113207547,21102641.0,36.3,17.2,0.0,0.0,0.0,5.121,50.8633414634,2.39046189641,47.959,0.867473827201,3.81482804769,52.041,21.6,32.4,10.0,81.2,92.8,68.6,27.5,5.6,51.3,0.020092271863,0.0900361239145,26.4523916667,1319.14923
56,2.0,3.57,3.57142857143,21622490.0,0.0,0.0,0.0,0.0,0.0,5.063,51.2084634146,2.4335778191,47.234,0.910323859882,3.81709828896,52.766,22.0,32.6,10.1,81.5,93.0,68.7,27.1,5.6,51.1,0.0025898959833,0.00924962851179,26.675525,1195.32987
235,12.0,5.1,5.10638297872,22157107.0,0.0,0.0,0.0,0.0,0.0,5.001,51.5595853659,2.44243260979,46.521,0.921419470539,3.78463207994,53.479,22.3,32.8,10.3,81.8,93.1,68.8,26.7,5.6,50.9,0.01060607777,0.0541586949957,26.8194083333,1540.9611
199,6.0,3.0,3.01507537688,22701556.0,0.0,0.0,348.8,0.0,0.0,4.937,51.9197560976,2.42751655786,45.82,0.909199847704,3.729796675,54.18,22.5,32.8,10.3,81.9,93.1,68.8,26.4,5.6,50.9,0.00876591895287,0.0264299063906,26.9709416667,1113.57771
13884,182.0,1.31,1.31086142322,65938712.0,39.3,26.6,427.2,0.0,0.0,6.386,56.8961463415,3.22659143641,60.063,2.39757930451,4.48646454879,39.937,26.8,28.9,25.5,50.7,82.3,29.7,11.1,2.9,16.6,0.210559162878,0.276013883923,25.0211666667,1493.8927
21700,584.0,2.69,2.69124423963,68087376.0,0.0,0.0,0.0,0.0,0.0,6.294,57.3986341463,3.20661169781,59.558,2.36227130835,4.46317834747,40.442,27.2,28.8,26.1,51.1,82.1,30.0,10.9,2.8,16.4,0.318708125865,0.857721407857,24.3175083333,1537.2054
33661,819.0,2.43,2.43308279611,70291160.0,0.0,0.0,0.0,0.0,0.0,6.199,57.8540731707,3.18542225882,59.05,2.32881478617,4.43371688222,40.95,27.6,28.7,26.8,51.4,81.8,30.3,10.7,2.7,16.3,0.478879563234,1.16515362671,24.3270666667,1493.5484
