title,company,location,salary,description,city,state,coded_sal,"Arlington,  VA","Atlanta,  GA","Baltimore,  MD","Bellevue,  WA","Berkeley,  CA","Beverly Hills,  CA","Billerica,  MA","Boston,  MA","Boulder,  CO","Brisbane,  CA","Cambridge,  MA","Campbell,  CA","Charlottesville,  VA","Cherry Hill,  NJ","Chicago,  IL","Collegeville,  PA","Columbia,  MD","Coral Gables,  FL","Denver,  CO","Downers Grove,  IL","Durham,  NC","East Hanover,  NJ","Evanston,  IL","Houston,  TX","Iowa City,  IA","Jacksonville,  FL","Lacey,  WA","Laurel,  MD","Los Angeles,  CA","Manhattan,  NY","Marietta,  GA","Miami,  FL","Mountain View,  CA","New Jersey, NJ","New York,  NY","Newton,  MA","Norcross,  GA","Northridge,  CA","Oakland,  CA","Ohio, OH","Palo Alto,  CA","Pasadena,  CA","Philadelphia,  PA","Pleasanton,  CA","Quincy,  MA","Raleigh,  NC","Redwood City,  CA","Reston,  VA","Rockville,  MD","Rosemont,  IL","Roswell,  GA","Salt Lake City,  UT","San Diego,  CA","San Francisco Bay Area,  CA","San Francisco,  CA","San Jose,  CA","San Mateo,  CA","Santa Clara,  CA","Seattle,  WA","Silver Spring,  MD","Somerville,  MA","Sunnyvale,  CA","Torrance,  CA","Washington,  DC","Watertown,  MA","Wellesley,  MA","Wilmington,  DE"
"Data Scientist II, Sequencing",Enterprise Select,"Pleasanton,  CA",120000,"The successful candidate must be excited about learning new concepts from chemistry, physics, algorithm development and electrical engineering and applying them...",Pleasanton, CA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,CTI Consulting,"Miami,  FL",120000,"Experience applying machine learning techniques to noisy, uncertain and/or dynamic data sets. Design and implementation of machine learning software solutions...",Miami, FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,indify,"New York,  NY",130000,Indify data scientists contribute to all aspects of the platform and are a vital part of envisioning and creating the future of our product....,New York, NY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,ZP Group,"Raleigh,  NC",105000,"The Data Scientist will be in charge of data management, data organization, data modeling, and data analytics....",Raleigh, NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical Data Analyst,Sharp Action LLC,"Somerville,  MA",72500,Put data models (from data scientist) into production. Automate data scrubbing for machine learning model input....,Somerville, MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Senior Analyst, Advanced Analytics",Liberty Mutual,"Boston,  MA",94100,You will also support these data scientists in manual scoring of data for some deployed complex models. There is also the opportunity to learn to build simple...,Boston, MA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data & Research Analyst,The Council,"Washington,  DC",82500,"Identify key macro and micro trends in the industry through robust research, leveraging data and analytics to produce meaningful insights....",Washington, DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Research Data Analyst,Johns Hopkins University,"Baltimore,  MD",51114,If you are interested in applying for employment with The Johns Hopkins University and require special assistance or accommodation during any part of the pre...,Baltimore, MD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr Data Scientist,PMES,"New York,  NY",155000,"Data manipulation and analysis using SQL, noSQL, Java, C, SAS, and machine learning suites such as Mahout, Weka, and RapidMiner:....",New York, NY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist (13262B),University of Utah,"Salt Lake City,  UT",112000,"Health Sciences Strategy is a dynamic, fast-paced work environment in which data scientists contribute to an array of projects aimed at achieving core health...",Salt Lake City, UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
