title,company,location,salary,description,city,state
Environmental Permits Coordinator,DEPT OF PARKS & RECREATION,"Manhattan,  NY",65977,"Use ArcGIS software to map, visualize and spatially analyze data. Strong GIS, spatial and statistical analysis, and data management skills....",Manhattan, NY
Research Implementation Supervisor,Center for Latino Adolescent and Family Health - N...,"New York,  NY",48000,"Experience with data collection, such as administering surveys, in-depth interviews, or focus groups. Lead and supervise a team responsible for recruiting...",New York, NY
Project Manager,HRA/DEPT OF SOCIAL SERVICES,"Manhattan,  NY",76643,"The Office of Data Reporting & Analysis is recruiting for two (2) City Research Scientists II, to function....",Manhattan, NY
Data Scientist (Media Company),Averity,"New York,  NY",120000,"Our team is made up of five data scientists, and you will be number six. Our Data Science team is made up of five well educated and very smart individuals....",New York, NY
Compliance Team Leader,DEPT. OF HOMELESS SERVICES,"Manhattan,  NY",90981,The City Research Scientist Level 3 will be tasked with:. §Design and maintain reporting tools to simplify and streamline data consumption....,Manhattan, NY
Water Quality Analyst,DEPT OF ENVIRONMENT PROTECTION,"New York,  NY",79249,S/he must also demonstrate the ability to connect technical data to policy level needs. Two years as a City Research Scientist Level I can be substituted for...,New York, NY
City Research Scientist,DEPT OF ENVIRONMENT PROTECTION,"New York,  NY",79249,"Participating in data collection, analysis, interpretation, and generating reports on data, findings, and results....",New York, NY
Manager - Predictive Modeling,Oliver James Associates,"New York,  NY",170000,Are you passionate about data? Do you have experience in the Life insurance market?...,New York, NY
Overdose Prevention Coordinator,DEPT. OF HOMELESS SERVICES,"Manhattan,  NY",83421,"Perform data collection and track and analyze naloxone distribution data and overdose reversal reports, create and manage reports, prepare quarterly Intranasal...",Manhattan, NY
Postdoctoral Fellow,Icahn School of Medicine at Mount Sinai,"New York,  NY",55000,The applicant should also be fluent in a one or several data programming languages such as R. Other important requirements for this position are handling of BIG...,New York, NY
Senior Systematic Quantitative Analyst - Multi-billion Dolla...,Averity,"New York,  NY",200000,"Looking for a strong Quantitative Analyst, Researcher or Data Scientist who is interested in an opportunity to work at one of the most reputable, top...",New York, NY
"Manager, Client Strategy",DemystData,"New York,  NY",92500,"We are a collection of engineers, data scientists and industry experts. DemystData transforms the way financial institutions harness data....",New York, NY
Marketing Research Analyst/Consumer Insights Analyst,The Forum Group,"New York,  NY",55000,"Work with Group Manager/Director on client requests, analyze data and produce deliverables. Should be able to interpret data from different perspectives, assist...",New York, NY
Full-Stack Data Scientist,Averity,"New York,  NY",130000,We are looking for a data scientist that can utilize data from start to finish to join one of the most exciting data research companies in New York....,New York, NY
Water Resources Analyst,DEPT OF ENVIRONMENT PROTECTION,"New York,  NY",79249,"Experience with ESRI software and spatial data analysis, water resources and stormwater management concepts are highly desired....",New York, NY
Senior Big Data Engineer,Harnham,"New York,  NY",140000,You will join the data engineering team and work closely with other software engineers and data scientists. Senior Big Data Engineer....,New York, NY
Senior Data Engineer,Harnham,"New York,  NY",175000,"Senior Data Engineer. Design, implement and maintain high performance data infrastructure/systems, data processing pipelines....",New York, NY
Security Research Analyst-Virtual Nationwide,ALC Staffing Associates,"New York,  NY",118000,Experience applying data science approaches to the malware analysis problem space. Assess technical data derived from malware analysis to draw conclusions...,New York, NY
Head of Machine Learning,Execu | Search,"New York,  NY",162500,Experience working with and managing large data sets. 5+ years of experience in a Machine Learning role utilizing natural language processing and data mining....,New York, NY
